Year,Diet low in vegetables,Diet low in whole grains,Diet low in nuts and seeds,Diet low in calcium,Unsafe sex,No access to handwashing facility,Child wasting,Child stunting,Diet high in red meat,Diet low in fiber,Diet low in seafood omega-3 fatty acids,Diet high in sodium,Low physical activity,Non-exclusive breastfeeding,Discontinued breastfeeding,Iron deficiency,Vitamin A deficiency,Zinc deficiency,Smoking,Secondhand smoke,Alcohol use,Drug use,High fasting plasma glucose, High total cholesterol,High systolic blood pressure,High body-mass index,Low bone mineral density,Diet low in fruits,Diet low in legumes,Low birth weight for gestation,Unsafe water source, Unsafe sanitation,Household air pollution from solid fuels,Air pollution ,Outdoor air pollution
1990,9811.965411,13095.14272,11044.63513,455.3042922,1432.420552,6183.204249,40322.71464,10580.29859,0.027653684,6088.2917,8648.353732,21945.8551,3176.809321,4239.002083,396.6469385,504.6649612,10232.68776,2207.800992,42817.67451,16095.63745,18138.91658,1941.345774,28193.70697,20882.40029,42197.86289,11590.68041,540.2453704,8403.30755,5129.567117,20150.22771,9668.891825,5830.977492,29469.1513,40716.44611,11311.38
1991,10051.9896,13325.38988,11511.15717,479.6045894,1585.368527,5772.758328,37623.42183,9631.754944,0.05343247,6378.969663,8995.834781,22705.28381,3279.976087,3952.105358,372.570124,487.2649967,9334.218838,1986.143144,44070.68846,15694.9832,17690.11237,2026.965862,29488.4651,,43238.88698,12063.65533,519.2490389,8562.849488,5324.175666,19662.58415,8953.383417,5373.139496,28168.25213,39550.2316,11446.75
1992,10898.97717,14290.77167,12788.07808,537.2038902,3451.054134,5494.598331,35036.32605,8842.87782,0.104403912,7102.801472,9986.58154,25067.36918,3615.782252,3741.318632,356.5620531,540.9229059,8692.664369,1782.622766,47379.09982,15717.69946,17864.75733,2203.363378,33090.27808,,47183.98602,13275.87717,502.308903,9120.270336,5873.574794,19464.88721,8516.924454,5094.161368,28048.5887,39727.98731,11746.6
1993,11085.65768,14438.75948,13189.72808,579.0345201,3547.168582,5145.043529,32628.65645,8075.376607,0.195533662,7340.995489,10269.57432,25124.81045,3735.625649,3595.832666,345.4736674,477.5984745,8123.142193,1580.260117,49082.83923,15144.11329,18762.373,2110.284926,34918.95063,,48511.5414,13836.20669,548.009049,9237.262,6009.458768,19430.87985,8099.751441,4824.452084,26610.32954,38311.28465,11769.58
1994,11624.90475,15050.78721,14001.52876,639.1466229,3554.657706,4942.183956,30247.9532,7291.517838,0.461805885,7819.205321,10863.12926,25851.70609,3970.70896,3446.928158,335.2362855,476.6405162,7506.414968,1396.893976,51647.26625,14830.40567,18443.10174,2173.330166,37983.49239,,51215.34653,14877.68098,532.0108152,9586.237903,6340.455584,19231.87749,8198.325202,4836.636923,25835.4167,37674.08961,11909.94
1995,12155.0363,15674.01623,14763.55429,690.9617724,3682.200714,4643.419282,28373.3265,6754.671647,0.83267562,8269.000865,11400.42749,26610.81673,4179.460466,3297.468036,303.6098181,525.814098,7043.462051,1242.872221,54504.36849,14823.52708,18702.0271,2216.043019,40859.89791,27378.5744,53730.19507,15980.57344,536.8193357,10013.66832,6652.067529,19176.5394,7510.99368,4370.003548,25599.15098,37835.741,12310.74
1996,12559.01295,16141.32129,15322.52962,741.0884068,3747.834278,4365.001099,26215.89983,6186.626394,1.398372064,8617.988498,11773.28611,27131.04864,4323.682131,3079.351088,284.5033232,400.8440196,6642.582605,1086.092397,56334.13881,14523.78669,18893.00718,2177.763699,43314.11103,,55769.40822,17101.74882,553.9061827,10340.81188,6879.72726,19074.59708,7190.654137,4109.132301,25000.10439,37480.92929,12558.01
1997,13170.32833,16887.90528,16062.53906,809.6748684,3841.011602,4150.276709,24424.32586,5689.372681,2.220849809,9082.380368,12293.12175,28099.13159,4511.799137,2905.623355,271.1753829,349.7268689,6172.966998,983.3447992,58756.79567,14445.46488,19511.07157,2045.360832,46544.81712,,58546.57031,18669.36076,594.7444392,10861.84059,7196.944079,19231.28927,6861.804446,3843.558632,24913.83927,37833.75755,13000.48
1998,13577.90153,17368.32979,16568.09331,873.0589916,3945.60669,4099.301565,23225.49783,5314.634388,3.345442318,9410.182195,12610.32556,28591.53814,4626.351524,2855.949186,277.1062124,496.696405,5877.501006,918.0570078,61403.43941,14236.81825,20684.21292,2093.826287,49200.1551,,60447.10773,20099.73293,628.5959468,11299.5654,7404.335795,19024.71563,7075.620659,3877.65428,24883.96326,38174.14417,13375.36
1999,13969.81226,17866.23852,16880.55733,937.3532958,4499.250109,3998.162399,22158.82144,4999.728952,5.042194966,9629.593568,12771.58907,29259.6237,4726.140196,2799.063215,270.7869684,449.9602629,5640.956026,855.2399091,63366.70659,14157.52997,21516.22191,2052.399361,51799.60474,,62746.72375,21670.83395,640.3605992,11766.70258,7529.929773,18574.45254,6974.385892,3722.198247,25097.28192,38721.0435,13714.29
2000,14737.05969,18916.45926,17499.31021,1013.732989,4687.51441,3943.06046,21486.21251,4834.005523,6.824026755,9996.014487,13133.0032,30932.32284,4964.600367,2753.735904,273.1877349,474.6630971,5621.190734,816.8780459,66080.20502,14331.76951,22588.70476,2180.429277,55952.15654,33950.20464,67054.66282,23789.77343,724.5690574,12655.08869,7782.237932,18674.40191,7128.943111,3687.176945,25676.01743,39800.78016,14221.93
2001,15526.88003,20077.2333,18006.73177,1086.387213,4937.553881,3924.031404,20987.59658,4667.684084,9.053444882,10281.49683,13388.9624,32661.68491,5170.195564,2734.481604,277.2911222,477.9041374,5427.394566,794.1092796,68881.49922,14645.60199,23532.29393,2275.79485,60260.73707,,71413.41189,26128.22958,770.6233741,13700.7746,7979.218407,18070.93296,7241.277376,3629.641108,26740.45729,41564.80231,14930
2002,16190.23586,21195.94812,18044.5538,1148.484226,5473.327026,3894.012094,20253.33466,4422.997248,11.60565659,10288.32574,13263.05838,34328.55592,5288.187475,2664.091836,286.3127098,495.8911931,5072.370336,769.2174563,71271.04771,14797.71742,24655.68445,2395.270052,64201.26432,,75359.58072,28497.99333,839.0775228,14840.87719,7958.276237,18047.65953,7304.400058,3542.895038,27672.6466,43042.82566,15485.04
